Algorithm, method_start, restart, dimension, step, a, s1, s2, fes, fx
NM, minimalPosBasisAngular, oriented, 2, default, -0.00300, 0.00000, 1.00000, 10000, 0.000018
ANM, minimalPosBasisAngular, oriented, 2, default, -0.00300, 0.00000, 1.00000, 10000, 0.000018
NM, minimalPosBasisAngular, oriented, 2, default, -0.00300, 1.00000, 0.00000, 10000, 0.000018
ANM, minimalPosBasisAngular, oriented, 2, default, -0.00300, 1.00000, 0.00000, 10000, 0.000018
NM, minimalPosBasisAngular, oriented, 2, default, -0.00300, 1.00000, 1.00000, 10000, 0.000018
ANM, minimalPosBasisAngular, oriented, 2, default, -0.00300, 1.00000, 1.00000, 10000, 0.000018
NM, minimalPosBasisAngular, oriented, 2, default, 1.00300, 0.00000, 0.00000, 7692, 0.000018
ANM, minimalPosBasisAngular, oriented, 2, default, 1.00300, 0.00000, 0.00000, 7692, 0.000018
NM, minimalPosBasisAngular, oriented, 2, default, 1.00300, 0.00000, 1.00000, 7692, 0.000018
ANM, minimalPosBasisAngular, oriented, 2, default, 1.00300, 0.00000, 1.00000, 7692, 0.000018
NM, minimalPosBasisAngular, oriented, 2, default, 1.00300, 1.00000, 0.00000, 7692, 0.000018
ANM, minimalPosBasisAngular, oriented, 2, default, 1.00300, 1.00000, 0.00000, 7692, 0.000018
NM, minimalPosBasisAngular, oriented, 2, default, 1.00300, 1.00000, 1.00000, 7692, 0.000018
ANM, minimalPosBasisAngular, oriented, 2, default, 1.00300, 1.00000, 1.00000, 7692, 0.000018
NM, minimalPosBasisAngular, None, 2, default, -0.00300, 0.00000, 0.00000, 10000, 0.000018
ANM, minimalPosBasisAngular, None, 2, default, -0.00300, 0.00000, 0.00000, 10000, 0.000018
NM, minimalPosBasisAngular, None, 2, default, -0.00300, 0.00000, 1.00000, 10000, 0.000018
ANM, minimalPosBasisAngular, None, 2, default, -0.00300, 0.00000, 1.00000, 10000, 0.000018
NM, minimalPosBasisAngular, None, 2, default, -0.00300, 1.00000, 0.00000, 10000, 0.000018
ANM, minimalPosBasisAngular, None, 2, default, -0.00300, 1.00000, 0.00000, 10000, 0.000018
NM, minimalPosBasisAngular, None, 2, default, -0.00300, 1.00000, 1.00000, 10000, 0.000018
ANM, minimalPosBasisAngular, None, 2, default, -0.00300, 1.00000, 1.00000, 10000, 0.000018
NM, minimalPosBasisAngular, None, 2, default, 1.00300, 0.00000, 0.00000, 7692, 0.000018
ANM, minimalPosBasisAngular, None, 2, default, 1.00300, 0.00000, 0.00000, 7692, 0.000018
NM, minimalPosBasisAngular, None, 2, default, 1.00300, 0.00000, 1.00000, 7692, 0.000018
ANM, minimalPosBasisAngular, None, 2, default, 1.00300, 0.00000, 1.00000, 7692, 0.000018
NM, minimalPosBasisAngular, None, 2, default, 1.00300, 1.00000, 0.00000, 7692, 0.000018
ANM, minimalPosBasisAngular, None, 2, default, 1.00300, 1.00000, 0.00000, 7692, 0.000018
NM, minimalPosBasisAngular, None, 2, default, 1.00300, 1.00000, 1.00000, 7692, 0.000018
ANM, minimalPosBasisAngular, None, 2, default, 1.00300, 1.00000, 1.00000, 7692, 0.000018
NM, uniformSimplex, oriented, 2, default, -0.00300, 0.00000, 0.00000, 12500, 0.000018
ANM, uniformSimplex, oriented, 2, default, -0.00300, 0.00000, 0.00000, 12500, 0.000018
NM, uniformSimplex, oriented, 2, default, -0.00300, 0.00000, 1.00000, 12500, 0.000018
ANM, uniformSimplex, oriented, 2, default, -0.00300, 0.00000, 1.00000, 12500, 0.000018
NM, uniformSimplex, oriented, 2, default, -0.00300, 1.00000, 0.00000, 12500, 0.000018
ANM, uniformSimplex, oriented, 2, default, -0.00300, 1.00000, 0.00000, 12500, 0.000018
NM, uniformSimplex, oriented, 2, default, -0.00300, 1.00000, 1.00000, 12500, 0.000018
ANM, uniformSimplex, oriented, 2, default, -0.00300, 1.00000, 1.00000, 12500, 0.000018
NM, uniformSimplex, oriented, 2, default, 1.00300, 0.00000, 0.00000, 11111, 0.000018
ANM, uniformSimplex, oriented, 2, default, 1.00300, 0.00000, 0.00000, 11111, 0.000018
NM, uniformSimplex, oriented, 2, default, 1.00300, 0.00000, 1.00000, 11111, 0.000018
ANM, uniformSimplex, oriented, 2, default, 1.00300, 0.00000, 1.00000, 11111, 0.000018
NM, uniformSimplex, oriented, 2, default, 1.00300, 1.00000, 0.00000, 11111, 0.000018
ANM, uniformSimplex, oriented, 2, default, 1.00300, 1.00000, 0.00000, 11111, 0.000018
NM, uniformSimplex, oriented, 2, default, 1.00300, 1.00000, 1.00000, 11111, 0.000018
ANM, uniformSimplex, oriented, 2, default, 1.00300, 1.00000, 1.00000, 11111, 0.000018
NM, uniformSimplex, None, 2, default, -0.00300, 0.00000, 0.00000, 12500, 0.000018
ANM, uniformSimplex, None, 2, default, -0.00300, 0.00000, 0.00000, 12500, 0.000018
NM, uniformSimplex, None, 2, default, -0.00300, 0.00000, 1.00000, 12500, 0.000018
ANM, uniformSimplex, None, 2, default, -0.00300, 0.00000, 1.00000, 12500, 0.000018
NM, uniformSimplex, None, 2, default, -0.00300, 1.00000, 0.00000, 12500, 0.000018
ANM, uniformSimplex, None, 2, default, -0.00300, 1.00000, 0.00000, 12500, 0.000018
NM, uniformSimplex, None, 2, default, -0.00300, 1.00000, 1.00000, 12500, 0.000018
ANM, uniformSimplex, None, 2, default, -0.00300, 1.00000, 1.00000, 12500, 0.000018
NM, uniformSimplex, None, 2, default, 1.00300, 0.00000, 0.00000, 11111, 0.000018
ANM, uniformSimplex, None, 2, default, 1.00300, 0.00000, 0.00000, 11111, 0.000018
NM, uniformSimplex, None, 2, default, 1.00300, 0.00000, 1.00000, 11111, 0.000018
ANM, uniformSimplex, None, 2, default, 1.00300, 0.00000, 1.00000, 11111, 0.000018
NM, uniformSimplex, None, 2, default, 1.00300, 1.00000, 0.00000, 11111, 0.000018
ANM, uniformSimplex, None, 2, default, 1.00300, 1.00000, 0.00000, 11111, 0.000018
NM, uniformSimplex, None, 2, default, 1.00300, 1.00000, 1.00000, 11111, 0.000018
ANM, uniformSimplex, None, 2, default, 1.00300, 1.00000, 1.00000, 11111, 0.000018
NM, pfefferSimplex, oriented, 5, default, -0.00300, 0.00000, 0.00000, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 0.00000, 0.00000, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 0.00000, 0.00391, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 0.00000, 0.00391, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 0.00000, 0.06250, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 0.00000, 0.06250, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 0.00000, 0.31641, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 0.00000, 0.31641, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 0.00000, 1.00000, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 0.00000, 1.00000, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 0.00391, 0.00000, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 0.00391, 0.00000, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 0.00391, 0.00391, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 0.00391, 0.00391, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 0.00391, 0.06250, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 0.00391, 0.06250, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 0.00391, 0.31641, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 0.00391, 0.31641, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 0.00391, 1.00000, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 0.00391, 1.00000, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 0.06250, 0.00000, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 0.06250, 0.00000, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 0.06250, 0.00391, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 0.06250, 0.00391, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 0.06250, 0.06250, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 0.06250, 0.06250, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 0.06250, 0.31641, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 0.06250, 0.31641, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 0.06250, 1.00000, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 0.06250, 1.00000, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 0.31641, 0.00000, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 0.31641, 0.00000, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 0.31641, 0.00391, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 0.31641, 0.00391, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 0.31641, 0.06250, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 0.31641, 0.06250, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 0.31641, 0.31641, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 0.31641, 0.31641, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 0.31641, 1.00000, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 0.31641, 1.00000, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 1.00000, 0.00000, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 1.00000, 0.00000, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 1.00000, 0.00391, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 1.00000, 0.00391, 287, 0.000046
NM, pfefferSimplex, oriented, 5, default, -0.00300, 1.00000, 0.06250, 258, 0.000045
ANM, pfefferSimplex, oriented, 5, default, -0.00300, 1.00000, 0.06250, 287, 0.000046
